ftYs_SpecialAirN2_1_Anim | fuzzy_match  | 100.00% ->  98.70%
ftYs_SpecialS_8012DF18 | fuzzy_match  | 100.00% ->  88.28%
ftYs_SpecialLwLanding_Coll | fuzzy_match  | 100.00% ->  96.00%
ftYs_SpecialAirSEnd_Coll | fuzzy_match  | 100.00% ->  97.50%
ftMs_SpecialN_801365A8 | fuzzy_match  | 100.00% ->  97.76%
ftMs_SpecialN_8013666C | fuzzy_match  | 100.00% ->  97.76%
ftMs_SpecialNStart_Anim | fuzzy_match  | 100.00% ->  95.38%
ftMs_SpecialAirNStart_Anim | fuzzy_match  | 100.00% ->  95.38%
ftMs_SpecialNStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialAirNStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialNLoop_Anim | fuzzy_match  | 100.00% ->  98.89%
ftMs_SpecialAirNLoop_Anim | fuzzy_match  | 100.00% ->  98.89%
ftMs_SpecialNLoop_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialAirNLoop_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialNEnd_Anim | fuzzy_match  | 100.00% ->  97.60%
ftMs_SpecialAirNEnd_Anim | fuzzy_match  | 100.00% ->  97.60%
ftMs_SpecialNEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialAirNEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialN_801371FC | fuzzy_match  | 100.00% ->  98.60%
ftMs_SpecialN_801372A8 | fuzzy_match  | 100.00% ->  98.60%
ftMs_SpecialN_80137354 | fuzzy_match  | 100.00% ->  93.00%
ftMs_SpecialN_801373B8 | fuzzy_match  | 100.00% ->  93.00%
ftMs_SpecialS_Enter | fuzzy_match  | 100.00% ->  96.36%
ftMs_SpecialAirS_Enter | fuzzy_match  | 100.00% ->  97.39%
ftMs_SpecialAirS1_Anim | fuzzy_match  | 100.00% ->  95.00%
ftMs_SpecialAirS1_Phys | fuzzy_match  | 100.00% ->  89.36%
ftMs_SpecialAirS1_Coll | fuzzy_match  | 100.00% ->  93.33%
ftMs_SpecialS2_Anim | fuzzy_match  | 100.00% ->  95.00%
ftMs_SpecialS2_Phys | fuzzy_match  | 100.00% ->  89.36%
ftMs_SpecialS2_Coll | fuzzy_match  | 100.00% ->  93.33%
ftMs_SpecialS_80137A9C | fuzzy_match  | 100.00% ->  93.68%
ftMs_SpecialS3_Anim | fuzzy_match  | 100.00% ->  95.00%
ftMs_SpecialS3_Phys | fuzzy_match  | 100.00% ->  88.43%
ftMs_SpecialS3_Coll | fuzzy_match  | 100.00% ->  93.33%
ftMs_SpecialS_80137E0C | fuzzy_match  | 100.00% ->  92.50%
ftMs_SpecialS4_Anim | fuzzy_match  | 100.00% ->  95.00%
ftMs_SpecialS4_Phys | fuzzy_match  | 100.00% ->  88.43%
ftMs_SpecialS4_Coll | fuzzy_match  | 100.00% ->  93.33%
ftMs_SpecialS_80138148 | fuzzy_match  | 100.00% ->  92.50%
ftMs_SpecialHi_Phys | fuzzy_match  | 100.00% ->  98.15%
ftMs_SpecialHi_Coll | fuzzy_match  | 100.00% ->  96.57%
ftMs_SpecialAirHi_Coll | fuzzy_match  | 100.00% ->  96.57%
ftMs_SpecialAirLw_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialLwHit_Anim | fuzzy_match  | 100.00% ->  96.28%
ftMs_SpecialAirLwHit_Anim | fuzzy_match  | 100.00% ->  96.28%
ftMs_SpecialLwHit_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialAirLwHit_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMs_SpecialLw_80139140 | fuzzy_match  | 100.00% ->  91.62%
ftZd_SpecialHi_801396E0 | fuzzy_match  | 100.00% ->  97.45%
ftZd_SpecialHi_Enter | fuzzy_match  | 100.00% ->  98.67%
ftZd_SpecialAirHi_Enter | fuzzy_match  | 100.00% ->  98.82%
ftZd_SpecialHiStart_0_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialHiStart_1_Coll | fuzzy_match  | 100.00% ->  98.50%
ftZd_SpecialN_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialLw_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialAirLw_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialLw2_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialAirLw2_Coll | fuzzy_match  | 100.00% ->  96.00%
ftZd_SpecialLw_8013B4D8 | fuzzy_match  | 100.00% ->  89.77%
ftZd_SpecialSStart_Coll | fuzzy_match  | 100.00% ->  97.78%
ftZd_SpecialSLoop_Coll | fuzzy_match  | 100.00% ->  97.78%
ftZd_SpecialSEnd_Coll | fuzzy_match  | 100.00% ->  97.78%
ftZd_SpecialAirSStart_Coll | fuzzy_match  | 100.00% ->  97.78%
ftZd_SpecialAirSLoop_Coll | fuzzy_match  | 100.00% ->  97.78%
ftZd_SpecialAirSEnd_Coll | fuzzy_match  | 100.00% ->  97.78%
ftPr_Init_8013C360 | fuzzy_match  | 100.00% ->  99.22%
ftPr_SpecialHi_Anim | fuzzy_match  | 100.00% ->  96.13%
ftPr_SpecialAirHi_Anim | fuzzy_match  | 100.00% ->  96.13%
ftPr_SpecialAirLw_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPr_SpecialAirS_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPr_SpecialS_8013D764 | fuzzy_match  | 100.00% ->  98.55%
ftPr_SpecialNStart_Coll | fuzzy_match  | 100.00% ->  98.64%
ftPr_SpecialNEnd_Coll | fuzzy_match  | 100.00% ->  97.50%
ftPr_SpecialAirNEnd_Coll | fuzzy_match  | 100.00% ->  97.50%
ftLg_SpecialN_Coll | fuzzy_match  | 100.00% ->  97.93%
ftLg_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  97.93%
ftLg_SpecialN_FireSpawn | fuzzy_match  | 100.00% ->  93.18%
ftLg_SpecialSStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialAirSStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialSHold_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialAirSHold_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialS_Anim | fuzzy_match  | 100.00% ->  97.21%
ftLg_SpecialAirS_Anim | fuzzy_match  | 100.00% ->  97.07%
ftLg_SpecialS_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialAirS_Coll | fuzzy_match  | 100.00% ->  96.00%
