Player_GetEntityAtIndex | fuzzy_match  | 100.00% ->  99.91%
Player_SwapTransformedStates | fuzzy_match  | 100.00% ->  99.87%
Player_GetDamage | fuzzy_match  | 100.00% ->  99.90%
Player_SetHUDDamage | fuzzy_match  | 100.00% ->  99.90%
Player_SetHPByIndex | fuzzy_match  | 100.00% ->  99.92%
Player_GetOtherStamina | fuzzy_match  | 100.00% ->  99.93%
Player_SetOtherStamina | fuzzy_match  | 100.00% ->  99.94%
Player_GetRemainingHP | fuzzy_match  | 100.00% ->  99.89%
Player_GetMoreFlagsBit2 | fuzzy_match  | 100.00% ->  99.93%
Player_SetMoreFlagsBit2 | fuzzy_match  | 100.00% ->  99.91%
Player_GetMoreFlagsBit3 | fuzzy_match  | 100.00% ->  99.93%
Player_SetMoreFlagsBit3 | fuzzy_match  | 100.00% ->  99.91%
Player_SetMoreFlagsBit4 | fuzzy_match  | 100.00% ->  99.91%
Player_GetMoreFlagsBit4 | fuzzy_match  | 100.00% ->  99.93%
Player_GetMoreFlagsBit5 | fuzzy_match  | 100.00% ->  99.93%
Player_SetMoreFlagsBit5 | fuzzy_match  | 100.00% ->  99.91%
Player_GetMoreFlagsBit6 | fuzzy_match  | 100.00% ->  99.93%
Player_SetMoreFlagsBit6 | fuzzy_match  | 100.00% ->  99.91%
Player_GetFlagsAEBit0 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsAEBit0 | fuzzy_match  | 100.00% ->  99.91%
Player_GetRemainingHPByIndex | fuzzy_match  | 100.00% ->  99.90%
Player_GetFalls | fuzzy_match  | 100.00% ->  98.74%
Player_GetFallsByIndex | fuzzy_match  | 100.00% ->  99.91%
Player_SetFalls | fuzzy_match  | 100.00% ->  99.91%
Player_SetFallsByIndex | fuzzy_match  | 100.00% ->  99.92%
Player_GetKOsByPlayerIndex | fuzzy_match  | 100.00% ->  99.94%
Player_UpdateKOsBySlot | fuzzy_match  | 100.00% ->  99.95%
Player_GetMatchFrameCount | fuzzy_match  | 100.00% ->  99.93%
Player_UpdateMatchFrameCount | fuzzy_match  | 100.00% ->  99.92%
Player_GetSuicideCount | fuzzy_match  | 100.00% ->  99.93%
Player_SetSuicideCount | fuzzy_match  | 100.00% ->  99.95%
